"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"20260113-1","mateusz kmiec","db/changelog/releases/changes/001-create-user.xml","2026-01-29T02:30:54.319","1","EXECUTED","9:ab5559bba91f6e90197bd990c29a5a17","createTable tableName=users","","","4.29.2","()","",""
"20260114-2","mateusz kmiec","db/changelog/releases/changes/003-create-categories.xml","2026-01-29T02:30:54.345","2","EXECUTED","9:14c16bad0d105e3417c1ecc22cbdf929","createTable tableName=categories","","","4.29.2","()","",""
"20260114-1","mateusz kmiec","db/changelog/releases/changes/002-create-items.xml","2026-01-29T02:30:54.374","3","EXECUTED","9:aa548f2c6734a63439fce7b7ac8a03e0","createTable tableName=items","","","4.29.2","()","",""
"20260115-1","mateusz kmiec","db/changelog/releases/changes/004-create-review.xml","2026-01-29T02:30:54.41","4","EXECUTED","9:015ce0bd26dd3a29631d3a9454e156a2","createTable tableName=reviews; addForeignKeyConstraint baseTableName=reviews, constraintName=fk_review_item, referencedTableName=items; createIndex indexName=idx_review_item_id, tableName=reviews","","","4.29.2","()","",""
"20260114-3","mateusz kmiec","db/changelog/releases/changes/005-create-rentals.xml","2026-01-29T02:30:54.441","5","EXECUTED","9:fcc9662da33586f8338740e1fc560fc5","createTable tableName=rentals","","","4.29.2","()","",""
"005-create-address","mat-kmiec","db/changelog/releases/changes/005-create-address.xml","2026-01-29T02:30:54.465","6","EXECUTED","9:2fa67146958b4a31c206aebe87a912ac","createTable tableName=addresses","","","4.29.2","()","",""
"20260123-1","antigravity","db/changelog/releases/changes/006-update-users-table.xml","2026-01-29T02:30:54.486","7","EXECUTED","9:f9e7a2d1e41dbd4aabd1b5de836461d1","addColumn tableName=users","","","4.29.2","()","",""
"20260113-2-seed-users","mateusz kmiec","db/changelog/releases/data/001-seed-user.xml","2026-01-29T02:30:54.515","8","EXECUTED","9:1e722066f81221bd0e0ac15deec9820f","insert tableName=users; insert tableName=users; insert tableName=users; insert tableName=users","","","4.29.2","()","",""
"0","mateusz kmiec","db/changelog/releases/data/003-seed-categories.xml","2026-01-29T02:30:54.543","9","EXECUTED","9:5dbb37c68e41f70dc17748a10d8aa500","insert tableName=categories; insert tableName=categories; insert tableName=categories; insert tableName=categories; insert tableName=categories","","","4.29.2","()","",""
"20260114-2","mateusz kmiec","db/changelog/releases/data/002-seed-items.xml","2026-01-29T02:30:54.652","10","EXECUTED","9:64ad33a815b265d0199e479588beb6c8","insert tableName=items; insert tableName=items; insert tableName=items; insert tableName=items; insert tableName=items; insert tableName=items; insert tableName=items; insert tableName=items; insert tableName=items; insert tableName=items; insert table...","","","4.29.2","()","",""
"20260115-3-bulk-seed-reviews","Mateusz Kmiec","db/changelog/releases/data/004-seed-review.xml","2026-01-29T02:30:54.722","11","EXECUTED","9:cdb41d8893f669636efab5744c3d5303","insert tableName=reviews; insert tableName=reviews; insert tableName=reviews; insert tableName=reviews; insert tableName=reviews; insert tableName=reviews; insert tableName=reviews; insert tableName=reviews; insert tableName=reviews; insert tableName=r...","","","4.29.2","()","",""
"20260119-data-testowa-rentals-v2","mateusz kmiec","db/changelog/releases/data/005-seed-rentals.xml","2026-01-29T02:30:54.764","12","EXECUTED","9:70794af89e9b707dbbdd0f5fca22559f","insert tableName=rentals; insert tableName=rentals; insert tableName=rentals; insert tableName=rentals",,"","4.29.2","()","",
